,accommodates,bathrooms,neighbourhood,num_beds,price,property_type
165,3,1.0,Downtown Vancouver,2,100,Condominium
166,3,1.0,South Cambie,2,80,Condominium
167,3,1.0,Renfrew-Collingwood,2,100,Condominium
168,4,1.0,Downtown Vancouver,2,63,Condominium
170,2,1.0,Kitsilano,2,100,Condominium
172,2,1.0,Kensington-Cedar Cottage,2,91,Condominium
174,4,1.0,Downtown Vancouver,2,98,Condominium
175,2,1.0,Downtown Vancouver,2,91,Condominium
180,2,1.0,Downtown Vancouver,2,75,Condominium
181,2,1.0,Mount Pleasant,2,100,Condominium
182,2,1.5,Kitsilano,2,100,Condominium
186,1,1.0,Downtown Vancouver,2,80,Condominium
187,2,1.0,Commercial Drive,2,100,Condominium
189,2,1.0,Fairview,2,98,Condominium
190,4,2.0,Marpole,2,98,Condominium
191,2,1.0,Mount Pleasant,2,98,Condominium
192,2,1.0,Mount Pleasant,2,70,Condominium
193,2,1.0,Downtown Vancouver,2,100,Condominium
194,2,1.0,Mount Pleasant,2,55,Condominium
198,1,1.0,Mount Pleasant,2,62,Condominium
199,2,1.0,Downtown Vancouver,2,98,Condominium
200,2,1.0,Downtown Vancouver,2,70,Condominium
201,4,1.0,Downtown Vancouver,2,75,Condominium
202,4,1.0,Downtown Vancouver,2,85,Condominium
208,3,1.0,Downtown Vancouver,2,93,Condominium
209,4,1.0,Mount Pleasant,2,80,Condominium
214,1,1.0,West End,2,97,Condominium
217,3,1.0,Downtown Vancouver,2,92,Condominium
218,2,1.0,Downtown Vancouver,2,98,Condominium
219,2,1.0,Downtown Vancouver,2,100,Condominium
220,2,1.0,Grandview-Woodland,2,52,Condominium
221,2,1.0,Downtown Vancouver,2,89,Condominium
222,3,1.0,Downtown Vancouver,2,100,Condominium
223,3,1.0,Downtown Vancouver,2,98,Condominium
224,2,1.0,Downtown Vancouver,2,89,Condominium
225,2,1.0,Renfrew-Collingwood,2,75,Condominium
235,6,2.0,Downtown Vancouver,2,70,Condominium
236,6,2.0,Downtown Vancouver,2,80,Condominium
237,4,2.0,Mount Pleasant,2,76,Condominium
238,4,1.0,Downtown Vancouver,2,79,Condominium
242,1,1.0,Downtown Vancouver,2,85,Condominium
244,2,1.5,Renfrew-Collingwood,2,70,Condominium
245,2,1.0,Strathcona,2,98,Condominium
254,1,1.0,Downtown Vancouver,2,98,Condominium
260,2,1.0,Strathcona,2,80,Condominium
264,2,1.0,Downtown Vancouver,2,85,Condominium
271,1,1.0,Mount Pleasant,2,75,Condominium
275,3,1.0,Chinatown,2,79,Condominium
277,2,1.0,Kensington-Cedar Cottage,2,52,Condominium
280,2,1.0,Downtown Vancouver,2,98,Condominium
282,2,1.0,Downtown Vancouver,2,100,Condominium
283,3,1.0,Downtown Vancouver,2,98,Condominium
284,2,1.0,West End,2,83,Condominium
287,1,1.0,Downtown Vancouver,2,75,Condominium
288,2,1.0,Chinatown,2,70,Condominium
289,4,1.0,Downtown Vancouver,2,70,Condominium
292,1,2.0,Fairview,2,70,Condominium
296,3,1.0,Downtown Vancouver,2,85,Condominium
298,1,1.0,Mount Pleasant,2,66,Condominium
299,3,1.0,Downtown Vancouver,2,94,Condominium
300,2,1.0,Downtown Vancouver,2,55,Condominium
301,2,1.0,Downtown Vancouver,2,98,Condominium
302,2,1.0,Downtown Vancouver,2,100,Condominium
303,3,1.0,Fairview,2,94,Condominium
63,2,1.0,Fairview,3,119,Condominium
66,2,1.0,Downtown Vancouver,3,139,Condominium
74,4,2.0,Fairview,3,138,Condominium
75,4,1.0,Downtown Vancouver,3,143,Condominium
81,2,1.0,Downtown Vancouver,3,126,Condominium
83,4,1.0,Downtown Vancouver,3,129,Condominium
86,3,1.0,Kitsilano,3,112,Condominium
89,2,1.0,Marpole,3,139,Condominium
91,4,2.0,Chinatown,3,131,Condominium
92,2,1.0,Fairview,3,125,Condominium
93,2,1.0,Downtown Vancouver,3,125,Condominium
94,2,1.0,Fairview,3,110,Condominium
95,6,2.0,Downtown Vancouver,3,110,Condominium
96,4,1.5,Fairview,3,135,Condominium
99,4,1.0,Downtown Vancouver,3,139,Condominium
106,4,2.0,Fairview,3,110,Condominium
109,4,2.0,Fairview,3,119,Condominium
111,4,1.5,Fairview,3,125,Condominium
114,5,1.0,Downtown Vancouver,3,129,Condominium
115,2,1.0,Downtown Vancouver,3,129,Condominium
118,2,1.0,Fairview,3,112,Condominium
119,3,1.0,Fairview,3,110,Condominium
128,5,1.0,Downtown Vancouver,3,143,Condominium
130,3,1.0,Downtown Eastside,3,140,Condominium
131,6,1.5,Kensington-Cedar Cottage,3,125,Condominium
132,4,1.0,Downtown Vancouver,3,119,Condominium
135,3,1.0,Downtown Vancouver,3,140,Condominium
137,2,1.0,Mount Pleasant,3,119,Condominium
138,2,2.0,Downtown Vancouver,3,119,Condominium
142,2,1.0,Downtown Vancouver,3,146,Condominium
144,5,2.0,Downtown Vancouver,3,115,Condominium
147,2,1.0,Downtown Vancouver,3,119,Condominium
153,2,1.0,West End,3,109,Condominium
154,2,1.0,Downtown Vancouver,3,139,Condominium
155,2,1.0,Downtown Vancouver,3,110,Condominium
156,2,1.0,Downtown Vancouver,3,135,Condominium
158,1,1.0,Downtown Vancouver,3,148,Condominium
159,2,1.0,Downtown Vancouver,3,105,Condominium
160,2,1.0,Kitsilano,3,112,Condominium
162,2,1.0,Downtown Vancouver,3,119,Condominium
163,2,1.0,West End,3,139,Condominium
169,4,1.0,Renfrew-Collingwood,3,130,Condominium
171,2,1.0,Mount Pleasant,3,144,Condominium
173,6,2.0,Downtown Vancouver,3,129,Condominium
176,2,1.0,Mount Pleasant,3,119,Condominium
177,2,1.0,Mount Pleasant,3,125,Condominium
178,5,1.0,Downtown Vancouver,3,129,Condominium
179,3,1.0,Downtown Vancouver,3,110,Condominium
183,2,1.0,Downtown Vancouver,3,147,Condominium
184,3,1.0,Downtown Vancouver,3,119,Condominium
185,2,1.0,Downtown Vancouver,3,140,Condominium
188,2,1.0,Downtown Vancouver,3,119,Condominium
195,5,2.0,Downtown Vancouver,3,125,Condominium
196,4,1.0,Yaletown,3,144,Condominium
197,2,1.0,West End,3,119,Condominium
203,6,2.0,Downtown Vancouver,3,115,Condominium
204,2,1.0,West End,3,125,Condominium
205,6,2.0,Downtown Vancouver,3,115,Condominium
206,5,2.0,Downtown Vancouver,3,148,Condominium
207,2,1.0,Mount Pleasant,3,129,Condominium
210,2,1.0,Coal Harbour,3,139,Condominium
211,3,1.0,Fairview,3,130,Condominium
212,2,1.0,Mount Pleasant,3,102,Condominium
213,3,1.0,Downtown Vancouver,3,110,Condominium
215,4,1.0,Grandview-Woodland,3,112,Condominium
216,5,2.0,Downtown Vancouver,3,117,Condominium
226,3,1.0,Downtown Vancouver,3,127,Condominium
227,4,1.0,Fairview,3,140,Condominium
228,2,1.0,Mount Pleasant,3,105,Condominium
229,2,1.0,Downtown Vancouver,3,129,Condominium
230,4,1.0,Downtown Vancouver,3,129,Condominium
231,2,1.0,Downtown Vancouver,3,119,Condominium
232,4,2.0,Downtown Vancouver,3,115,Condominium
233,4,2.0,Downtown Vancouver,3,130,Condominium
234,2,1.0,Kitsilano,3,119,Condominium
239,1,1.0,Downtown Vancouver,3,112,Condominium
240,2,1.0,Grandview-Woodland,3,130,Condominium
241,2,1.0,Downtown Vancouver,3,138,Condominium
243,2,1.0,Downtown Vancouver,3,138,Condominium
246,4,2.0,Downtown Vancouver,3,146,Condominium
247,2,1.0,Downtown Vancouver,3,119,Condominium
248,2,1.0,West End,3,138,Condominium
249,2,1.5,Downtown Vancouver,3,130,Condominium
250,3,1.0,Downtown Vancouver,3,130,Condominium
251,1,1.0,Downtown Vancouver,3,109,Condominium
252,3,1.0,Downtown Eastside,3,125,Condominium
253,2,1.0,Downtown Vancouver,3,138,Condominium
255,2,1.0,West End,3,109,Condominium
